10,When can I start. Well first the whole stay experience was one of the worst that I have ever had in Las Vegas. Second the hotel charged you for everything. If you moved an item in the mini-bar you were automatically charged for it on your bill. Then if you had the audacity to put anything in the mini-bar to keep it cold you were automatically charge $75 storage fee. They only had two working elevators and we were on the 66th floor and had to wait minutes for an elevator. There is no room service in the hotel. To order food you had to contact one of the inhouse restaurants to order (an additional $12.00 charge). The ice machine was two miles from the room in a nondescript room. There was one bar cell phone service in the hotel but the minute you stepped outside it went to…
50,Katherine at check in was amazing. So kind and helpful late at night and it was a great start to my trip. The room was gorgeous and clean with an amazing view. Will definitely stay at Caesars Palace on my next trip to Vegas!
30,Caesar’s is big crowded and cleanliness is borderline. The signage inside the hotel is not very helpful and I spent too much time wandering around lost. This is the first time I stayed in a hotel that didn’t have complimentary coffee in the room. I think they can do better for the hype and the price point.
20,We’ve stayed in many Vegas hotels Caesar’s always seemed like a higher end hotel on par with the Bellagio or Wynn so we were looking forward to our stay upgraded our room a few notches. Well we’ve been there done that now. First off they restrict ride share drop offs to the far side of the complex so your first experience is dragging all your luggage from one end to the other with very poor signage to the lobby thankfully the employees were very helpful. Check-in was long then a very long trudge back to our tower. The rooms were no more than “ok”. They are large his and hers bathrooms comfy bed and it stops there. Considering the upgrade we expected some amenities but there were none. One average size tv seemed small for the room onLy fridge is the stocked one.…
50,My first time staying at Caesars and given the outstanding service I received I will be coming back. Linda at the Diamond check in could not have been nicer and went above and beyond. The property has everything from great restaurants to an awesome gym.
50,If you going to Ceacars Palace Las Vegas Hotel Look for Emma.She is Very Helpful and the best Customer Service. She will help you What ever you can Ask for.. We Really Appreciate all the help Emma your the best.dont forget look for her when u check it.love this palace 🥰🥰
10,I was shocked at how run down the room was. I have stayed at several other hotels with exceptional rooms and ammenities so when I booked Cesars I was expecting something similar. Instead my room looked like they took the used furnature from a budget motel to install into the room. The room was old all the furnature was scratched/banged up the carpet was wavy and half the lamps didn't work. The location and brand of Cesar was way nicer than the stay. Many way-better options for the same cost on the strip! That said it is a classic resort on the strip so stop in and see it. The restaurants were good but expensive. Just don't stay overnight.
50,"I had booked this weekend trip over 6 months ago and assumed I had booked an appropriate room for my wife and I to have a fantastic winter excursion. We were able to check in early but when we got to the room it was LESS than expected. I went down to the front desk and spoke with MARIA S about the situation. She calmly said"" talk to mewhat can i do to help"" putting me at ease and calming me down. I discussed the situation with her and at that point went to discuss with the manager on duty TAJA N. After less than 2 minutes of discussion they both came over offered me a new room at a discounted upgrade fee and then comped us lunch. My wife and I went to lunch and by the time it was over our new room was ready. To say I was flabbergasted with the upgrade is an understatement.…"
30,Nothing in the room was free. I have never stayed in a hotel where you have to pay for the water that is left I the room. Even using the in room fridge attracted an extra charge. The concept of this hotel is to get as much money out of you as possible. Beware of the mini bar.
40,Paid premium for the room since it was one night on a SATURDAY. Great property well maintained and very busy due to their show venues. Lots of folks were there to see Adelle which explains the room pricing. We arrived at 9AM and went straight to the QUA BATHS and SPA you can get a day pass as a guest for $85.00 which covers the entire day a great experience and mentioned in a separate review. Here you go for a painless experience: 1 - use the automated check-in at the KIOSKS or the Application on your phone. 2- Ensure you get your Players Card as soon as possible and use it everywhere. 3- When you drop your bags at bellhop tell them you will return to pick them up IF you choose the room delivery option- it's a WAIT! 4- BE careful with the mini-bar in the room- you touch it and…
20,"I love coming to Vegas but I will likely never stay at Caesars Palace again. Not only was my room not particularly clean but all the food options (restaurants and fast food) were ridiculously expensive. More than $38 for a sandwich dessert and bottled ice tea from a grab and go place is just stupid. Furthermore because the Caesars property is so large it is difficult to get out of the hotel to find a quick meal. I know that everything is more expensive on the strip but I thought that Caesars Palace was unreasonably overpriced. I had a comped room but the resort fees and parking were not comped and amounted to over $50 per day.    Regarding the condition of my room I was very disappointed both in the cleanliness and the maintenance of it. The bathroom walls had toothpaste and/or soap spatter all over it the shower valve was very difficult to turn the shower didn't drain properly the bathroom vanity caulking was old cracked and gapped and the light fixture on the desk had no less than an 1/8"" of dirt hair and dust built up in it because no one had taken it apart in years.    The location of the rideshare pick up and drop off is very far from check in. When my Lyft driver dropped me off at the main entrance he told me he was going to be scolded by the valet attendants. As soon as I got out of the car one of the valets came over and started yelling at my Lyft driver saying that he wasn't allow to drop off riders at that entrance. So evidently only those people that are paying $50/night for valet parking get to go in the main entrance to the hotel...    The one bright spot on my stay at Caesars Palace with the car rental from Enterprise. Both pickup and drop off of the car was quick and easy and the car was well maintained. In addition by not picking up my car at the airport I saved several hundred dollars on the rental.    Despite the fact that Caesars offers me free rooms at Caesars Palace I have rebooked my next trip to stay at another casino hotel off the strip."
20,Our room was dirty. The base boards were dusty and it showed as if it hadn’t been whipped down in a long time. There was something spilled down the wall and over the base board which had dirt stuck to it. So it was there for quit sometime. The bathroom door was dirty from people’s hand opening and closing it. This was dirt from a long time build up. The marble floors had drip marks all over them. Seemed as though they hadn’t been mopped from the past people’s stay. There were items missing in the fridge which I’m sure we got charged for. Make sure you read instructions on the fridge before you touch anything or you get charged. There is no place to store your insulin and if you remove items out of the fridge to store anything it automatically charges your room. Total BS. The bed was incredibly hard. As for the hotel everything was way too over priced. We won’t ever stay here again.
30,"Self check in is a must! Don't believe the amenities...the website says coffee maker is in the room. Wouldn't you expect coffee too? NO. You have to pay $20.99 for a ""coffee kit"". Top bring your own Keurig pods and creamer if you need it.  That was enough for the low rating after spending almost $300 for the room"
10,The staff that work in that property are the rudest ever!  The valet lady “Tammy” if that was her real name and i said it because she hid her tag when i asked for it (blonde).She discriminated and screamed in my face without any reason. I have a condition and i cant hear well and she came up to my face EXTREMELY rude and defiant. NEVERRR EVER STAY AT THIS PROPERTY
30,The check‐in process with Veronica's help was so easy. She was very helpful!  The room was ok. It was clean however the shower head was aimed so high it was hard to shower properly. Even maintenance came to try to fix it and couldn't. You also have to pay for anything extra including $40.00 a day for use of the refrigerator that is in the room you have to have a code to use it.
